Target,RA,DEC,Sp. Type,T_eff [K],B [mag],V [mag],G [mag],Dist [pc],Data products (ascii),Data products (csv)
BD+053829,37:05.2,+05:17:31.620,G5,4872.9,10.93,9.83,9.404,476.64,BD+053829_harps_all-data_v1.dat,BD+053829_harps_all-data_v1.csv
BD+053835,37:30.3,+05:12:15.716,G5,4728.8,10.85,9.77,9.429,476.58,BD+053835_harps_all-data_v1.dat,BD+053835_harps_all-data_v1.csv
BD+072351,44:37.6,+06:20:00.851,G5,5270.7,10.72,9.83,9.651,66.58,BD+072351_harps_all-data_v1.dat,BD+072351_harps_all-data_v1.csv
BD+072474,43:38.0,+06:33:49.43,G0,5339,11.43,10.72,nan,nan,BD+072474_harps_all-data_v1.dat,BD+072474_harps_all-data_v1.csv
BD+101802,27:35.6,+10:30:23.565,K5,4228.5,11.43,9.95,9.253,1291.66,BD+101802_harps_all-data_v1.dat,BD+101802_harps_all-data_v1.csv
BD+144559,13:36.0,+14:41:21.784,K5,4869.2,nan,nan,9.351,49.42,BD+144559_harps_all-data_v1.dat,BD+144559_harps_all-data_v1.csv
BD+20594,34:36.2,+20:35:57.269,K0,5456.8,11.77,10.85,10.864,180.38,BD+20594_harps_all-data_v1.dat,BD+20594_harps_all-data_v1.csv
BD+23527,46:53.7,+23:35:00.798,G0V,5642.8,11.1,10.6,10.383,134.94,BD+23527_harps_all-data_v1.dat,BD+23527_harps_all-data_v1.csv
BD-013943,18:09.3,-01:04:32.610,F9,5604,10.39,9.75,9.572,149.85,BD-013943_harps_all-data_v1.dat,BD-013943_harps_all-data_v1.csv
BD-053461,15:48.5,-06:24:11.087,N/A,5756,11.15,10.42,10.301,377.67,BD-053461_harps_all-data_v1.dat,BD-053461_harps_all-data_v1.csv
BD-055432,00:06.2,-05:05:40.037,N/A,4875.2,10.93,9.87,9.485,50.03,BD-055432_harps_all-data_v1.dat,BD-055432_harps_all-data_v1.csv
BD-073537,04:06.0,-08:04:27.839,N/A,5637.1,11.16,10.56,10.33,231.19,BD-073537_harps_all-data_v1.dat,BD-073537_harps_all-data_v1.csv
BD-07436B,28:37.3,-07:03:41.286,K5,N/A,nan,13.4,11.836,105.72,BD-07436B_harps_all-data_v1.dat,BD-07436B_harps_all-data_v1.csv
BD-096003,33:28.4,-09:01:21.977,N/A,4860,11.915,10.872,10.596,310.13,BD-096003_harps_all-data_v1.dat,BD-096003_harps_all-data_v1.csv
BD-114672,33:28.8,-11:38:09.721,K7V,N/A,11.21,9.99,9.485,27.19,BD-114672_harps_all-data_v1.dat,BD-114672_harps_all-data_v1.csv
BD-122361,09:47.8,-12:54:14.004,N/A,4839,11.44,10.44,10.201,879.58,BD-122361_harps_all-data_v1.dat,BD-122361_harps_all-data_v1.csv
BD-122371,10:15.2,-12:50:41.105,N/A,5014.9,11.64,10.65,10.415,1288.66,BD-122371_harps_all-data_v1.dat,BD-122371_harps_all-data_v1.csv
BD-132130,37:09.2,-13:54:23.954,G5IV-V/K2III,4572.3,11.31,10.04,9.7,948.77,BD-132130_harps_all-data_v1.dat,BD-132130_harps_all-data_v1.csv
BD-136424,32:30.9,-12:15:51.465,M0Ve,4058.7,12.38,10.639,9.818,27.37,BD-136424_harps_all-data_v1.dat,BD-136424_harps_all-data_v1.csv
BD-156276,48:07.6,-14:29:40.842,?+M4-7,5390,11.97,11.19,10.928,139.22,BD-156276_harps_all-data_v1.dat,BD-156276_harps_all-data_v1.csv
BD-15705,02:16.5,-15:21:29.807,K3/4,4881.6,11.19,10.024,9.753,54.84,BD-15705_harps_all-data_v1.dat,BD-15705_harps_all-data_v1.csv
BD-17751,53:54.5,-16:57:15.361,N/A,5887,11.16,10.52,10.514,164.41,BD-17751_harps_all-data_v1.dat,BD-17751_harps_all-data_v1.csv
BD-184705,56:52.0,-19:00:03.443,N/A,4098,11.09,9.62,8.989,732.28,BD-184705_harps_all-data_v1.dat,BD-184705_harps_all-data_v1.csv
BD-184710,57:03.2,-18:59:13.933,N/A,4253.7,10.71,9.42,8.951,742.83,BD-184710_harps_all-data_v1.dat,BD-184710_harps_all-data_v1.csv
BD-194341,14:13.8,-19:39:36.253,K0IV,4963.8,10.33,9.61,9.312,159.25,BD-194341_harps_all-data_v1.dat,BD-194341_harps_all-data_v1.csv
BD-202976,39:30.1,-20:58:56.877,N/A,5981,9.94,9.35,9.257,114.55,BD-202976_harps_all-data_v1.dat,BD-202976_harps_all-data_v1.csv
BD-221092,22:44.0,-21:54:04.039,N/A,5682.1,11.12,10.33,10.24,nan,BD-221092_harps_all-data_v1.dat,BD-221092_harps_all-data_v1.csv
CD-2312854,21:45.8,-23:32:52.289,G7V,5267.5,11.63,10.8,10.537,110.87,CD-2312854_harps_all-data_v1.dat,CD-2312854_harps_all-data_v1.csv
CD-2412030,23:33.0,-25:22:14.670,N/A,5550.3,10.25,9.46,9.494,85.58,CD-2412030_harps_all-data_v1.dat,CD-2412030_harps_all-data_v1.csv
CD-2510553,49:33.3,-26:06:20.8,N/A,N/A,nan,nan,nan,nan,CD-2510553_harps_all-data_v1.dat,CD-2510553_harps_all-data_v1.csv
CD-2514757,25:18.9,-24:48:45.508,N/A,5572,11.65,10.9,10.641,121.05,CD-2514757_harps_all-data_v1.dat,CD-2514757_harps_all-data_v1.csv
CD-261407,44:01.2,-26:32:15.281,N/A,6250.2,11.377,10.86,10.771,301.4,CD-261407_harps_all-data_v1.dat,CD-261407_harps_all-data_v1.csv
CD-281745,47:22.7,-27:50:29.311,M0V,4055,11.45,10.07,9.25,15.67,CD-281745_harps_all-data_v1.dat,CD-281745_harps_all-data_v1.csv
CD-287411,34:40.5,-29:00:33.593,N/A,5624.8,10.95,10.39,10.166,102.53,CD-287411_harps_all-data_v1.dat,CD-287411_harps_all-data_v1.csv
CD-301812,25:29.0,-30:36:01.610,F5,6632,10.45,10.04,9.972,248.45,CD-301812_harps_all-data_v1.dat,CD-301812_harps_all-data_v1.csv
CD-3019757,58:14.8,-29:36:29.986,N/A,6273,11.29,10.81,10.597,280.07,CD-3019757_harps_all-data_v1.dat,CD-3019757_harps_all-data_v1.csv
CD-306011,18:19.2,-30:32:58.429,G5,4810.1,11.98,10.87,10.411,1919.02,CD-306011_harps_all-data_v1.dat,CD-306011_harps_all-data_v1.csv
CD-306015,18:26.4,-30:39:30.376,N/A,4777.4,12.24,11.14,10.84,2041.65,CD-306015_harps_all-data_v1.dat,CD-306015_harps_all-data_v1.csv
CD-312415,23:25.2,-31:16:34.982,N/A,4780.3,11.583,10.545,10.295,875.04,CD-312415_harps_all-data_v1.dat,CD-312415_harps_all-data_v1.csv
CD-329927,11:46.3,-33:03:14.379,A4,7337.3,10.793,10.444,10.391,383.46,CD-329927_harps_all-data_v1.dat,CD-329927_harps_all-data_v1.csv
CD-332771,10:16.5,-33:21:20.892,K5III+K5V,3998.8,11.34,9.86,9.235,1227.6,CD-332771_harps_all-data_v1.dat,CD-332771_harps_all-data_v1.csv
CD-337795B,31:55.4,-34:36:29,N/A,3946.6,nan,20.4,nan,nan,CD-337795B_harps_all-data_v1.dat,CD-337795B_harps_all-data_v1.csv
CD-348618,04:10.5,-35:32:58.321,N/A,7074.9,10.93,10.52,10.579,428.41,CD-348618_harps_all-data_v1.dat,CD-348618_harps_all-data_v1.csv
CD-3510525B,49:12.1,-35:39:03.9,L1.5,4092.6,nan,nan,nan,140,CD-3510525B_harps_all-data_v1.dat,CD-3510525B_harps_all-data_v1.csv
CD-381059,12:27.3,-38:06:05.169,G5,5723,10.57,9.88,9.754,131.52,CD-381059_harps_all-data_v1.dat,CD-381059_harps_all-data_v1.csv
CD-383745,51:56.0,-38:36:50.469,N/A,4944,11.814,10.853,10.559,1527.18,CD-383745_harps_all-data_v1.dat,CD-383745_harps_all-data_v1.csv
CD-383754,52:17.8,-38:33:24.911,G8II,4547.5,11.988,10.811,10.411,1591.09,CD-383754_harps_all-data_v1.dat,CD-383754_harps_all-data_v1.csv
CD-386968,09:40.1,-39:06:47.280,G3,5824.1,10.52,9.93,9.744,120.11,CD-386968_harps_all-data_v1.dat,CD-386968_harps_all-data_v1.csv
CD-395833,47:19.9,-40:03:09.843,K0V,5351.8,11.57,10.89,10.546,104.07,CD-395833_harps_all-data_v1.dat,CD-395833_harps_all-data_v1.csv
CD-426963,25:16.2,-43:14:24.077,N/A,4812,11.93,10.78,10.482,1075.15,CD-426963_harps_all-data_v1.dat,CD-426963_harps_all-data_v1.csv
CD-452997,11:29.0,-46:11:55.604,N/A,5345,11.46,10.74,10.512,105.31,CD-452997_harps_all-data_v1.dat,CD-452997_harps_all-data_v1.csv
CD-461064,30:49.1,-45:55:57.364,K3V,4700.9,10.67,9.622,9.38,43.92,CD-461064_harps_all-data_v1.dat,CD-461064_harps_all-data_v1.csv
CD-4911401,24:41.5,-49:59:06.472,N/A,4726.6,11.401,10.363,10.03,920.39,CD-4911401_harps_all-data_v1.dat,CD-4911401_harps_all-data_v1.csv
CD-4911402,24:46.7,-49:54:06.990,N/A,4777.4,12.027,10.894,10.574,903.67,CD-4911402_harps_all-data_v1.dat,CD-4911402_harps_all-data_v1.csv
CD-4911404,24:50.1,-49:56:56.080,N/A,4619.2,11.5,10.7,10.534,879.35,CD-4911404_harps_all-data_v1.dat,CD-4911404_harps_all-data_v1.csv
CD-4911410,24:57.8,-50:01:32.957,N/A,4759.3,11.89,10.78,10.371,nan,CD-4911410_harps_all-data_v1.dat,CD-4911410_harps_all-data_v1.csv
CD-4911415,24:54.2,-49:53:07.523,N/A,4492.2,11.76,10.44,9.956,854.26,CD-4911415_harps_all-data_v1.dat,CD-4911415_harps_all-data_v1.csv
CD-50714,27:06.1,-50:17:04.312,N/A,5990.1,10.74,10.14,10.027,158.69,CD-50714_harps_all-data_v1.dat,CD-50714_harps_all-data_v1.csv
CD-52381,52:14.6,-52:19:33.185,K2V(e),4890.6,11.836,10.953,10.61,86.3,CD-52381_harps_all-data_v1.dat,CD-52381_harps_all-data_v1.csv
